CAS,Median PR,Class,GATS5c,ATS3m,ETA_Psi_1,ETA_Beta,GATS2v,ATSC5e,piPC7,ATSC3e,MLFER_A,AATSC5e,ATSC7c,MDEC-22,SIC2,ATSC8c,minHCsatu,AATS6v,SsssCH,SsssN,AATSC8m,nCl,MDEC-44,PubchemFP377,SubFP40,FMF,minHssNH,VE2_D,maxssCH2,khs.dssS,FP490,ATS8m,FP184,ExtFP763,ExtFP636,minHBint10,ExtFP738,GATS6v,SCH-6,AD2D395,FP350,minHBint3,khs.sNH2,ExtFP701
13560-92-4,92.45108135942328,1,0.7756850823716964,40741.052682,0.5984,23.0,0.6370958147605355,-6.563953595325062,6.58063913728495,3.815380124178221,0.003,-0.0607773481048616,-0.2603925441357282,0.0,0.6393781773574435,0.2743288841894549,0.0,290.9538250327682,7.627047745023935,0.0,254.1987743208045,12,5.299251226840173,0,0,0.5862068965517241,0.0,3.254101968728907e-17,1.7722256515775034,0,0,24323.804799999994,0,1,0,0.0,0,1.5765809965830218,1.553179585435022,0,0,0.0,0,0
135821-74-8,92.45108135942328,1,0.7014457224965284,41061.9236120001,0.60118,23.0,0.6352117062527276,-5.315938448979617,5.91620206260743,4.543561265306115,0.003,-0.0349732792696027,-0.3692478356796168,2.6207413942088964,0.6026092355384952,-0.2600466940644931,0.0,224.37318931544863,4.844399162957363,0.0,50.52629965731257,12,4.733229430560299,0,0,0.5294117647058824,0.0,4.625929269271485e-18,1.720485656196635,0,0,29947.416241999985,0,1,0,0.0,0,1.455665948058763,1.1991901088165218,0,0,0.0,0,0
13674-87-8,4.411764705882353,0,1.1162609771446033,10578.42601758,0.52996,14.25,1.081965485773027,-0.0587445306122409,3.2188758248682,-0.4149332448979594,0.003,-0.0008158962585033,-0.1708328744042614,3.114327349038794,0.5081252808234037,0.0504205549404404,0.0,235.7130656815113,0.523725539598555,0.0,0.0315272627404297,6,0.0,0,0,0.0,0.0,1.613292832658431e-17,1.080841049382716,0,0,16844.413871999954,0,0,0,0.0,0,1.1029494183056083,0.0,0,0,0.0,0,0
14609-54-2,0.0,0,0.8809089551648113,17840.298124,0.56836,91.0,0.9108876322751336,-4.223470609382696,8.73026620465268,-0.8962635298765013,3.097,-0.0148713753851503,-0.8280540708461018,0.0,0.5610933716244528,2.334192082114749,0.0,218.86594399191767,0.0,0.0,3.905187499163037,0,0.0,1,0,0.8,0.0,1.1564823173178714e-17,0.0,0,0,30018.40720400008,0,0,1,0.0,0,1.0497103279601383,0.8776643872851508,0,1,0.0,0,0
1806-26-4,92.2483917972776,1,0.406769831905916,2845.134367,0.65089,14.25,1.2587430267639583,0.1647685434623781,3.89817759860609,0.0108957428780124,0.546,0.0021124172238766,0.0001970168030012,16.5537018393787,0.6380050888174538,0.0001271411903767,0.0,120.9726540841959,0.0,0.0,-0.1772542536558759,0,0.0,0,0,0.4,0.0,0.0127141244836611,1.38102959393634,0,0,1376.6799149999974,1,1,0,0.0,0,0.96481949468188,0.0833333333333333,0,0,0.0,0,0
183658-27-7,92.45108135942328,1,1.158141667170634,31534.693432,0.81818,20.75,0.7522720867415597,1.6464310000000018,5.05902855411283,1.0942809999999985,0.003,0.0193697764705882,-0.0609270673965978,4.914609993978386,0.7210033306012061,0.0287939033620662,0.0,167.78989604552123,0.5476779969532394,0.0,-74.68897792764928,0,0.0,0,0,0.2857142857142857,0.0,0.0114424063213685,1.2441614472484683,0,0,9213.222646000006,0,1,0,0.0,0,0.8542440949371722,0.0453609211626514,0,1,0.0,0,0
20427-84-3,91.8181818181818,1,0.6922236968460359,4474.85971900002,0.59322,18.75,1.2383294334671051,0.1528456570644788,4.64799018317102,1.1847637146776375,0.259,0.0012227652565158,-0.1009376981797515,24.333667821301773,0.6471035148491616,0.0404261601550695,0.0,123.91246340306984,0.0,0.0,-0.6451010549280516,0,0.0,0,0,0.2727272727272727,0.0,0.0027209859544925,1.3934073522682269,0,0,3119.487360000004,0,1,0,0.0,0,0.912609775155902,0.0833333333333333,0,0,3.5125237998324232,0,0
206-44-0,84.375,1,1.17067397579863,4505.556245,0.71429,25.5,0.8463541666666664,-0.0968286390532546,7.6094362554049,0.0186640710059176,0.003,-0.0018269554538349,0.0006506679287003,13.893595587227583,0.4703518767585289,0.0056784223421852,0.0,138.9307352485419,0.0,0.0,45.84748269822489,0,0.0,0,0,1.0,0.0,0.003162557194218,0.0,0,0,6.0963840000000005,0,0,0,0.0,0,1.2574404761904756,0.4378968185089305,0,0,0.0,0,0
23488-38-2,92.45108135942328,1,0.9104427139035132,25441.155663,1.07692,14.0,0.3707598281044708,-0.623831185185184,3.84079549613978,0.2352867407407411,0.003,-0.0297062469135801,0.0050316727738013,0.0,0.5269062927184989,0.0,0.0,114.73661637051865,0.0,0.0,0.0,0,0.0,0,0,0.5,0.0,1.8503717077085938e-17,0.0,0,0,0.0,0,0,0,0.0,0,1.5331638248245838,0.037037037037037,0,0,0.0,0,0
2385-85-5,92.45108135942328,1,0.5788609315286524,45915.835368,0.57437,16.0,1.1,0.7905733884297497,6.55250788703459,-3.610285140495864,0.003,0.0494108367768593,0.0,0.0,0.4903549449600559,0.0,0.0,503.97095841309095,0.0,0.0,0.0,12,25.57653020608757,0,0,0.4545454545454545,0.0,9.251101342423457e-18,0.0,0,0,0.0,0,0,0,0.0,0,0.0,3.5625,0,0,0.0,0,0
